English name,Set name,Card number,Variant,Exclusive full art,Image link
Eevee,Gem Pack Vol. 2 (CBB2C),01 01/15,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/101.png
Eevee,Gem Pack Vol. 2 (CBB2C),01 02/15,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/102.png
Eevee,Gem Pack Vol. 2 (CBB2C),01 03/15,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/103.png
Eevee,Gem Pack Vol. 2 (CBB2C),01 04/15,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/104.png
Eevee,Gem Pack Vol. 2 (CBB2C),01 05/15,Star finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/105.png
Eevee,Gem Pack Vol. 2 (CBB2C),01 06/15,Star finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/106.png
Eevee,Gem Pack Vol. 2 (CBB2C),01 07/15,Flower finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/107.png
Eevee,Gem Pack Vol. 2 (CBB2C),01 08/15,Flower finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/108.png
Eevee,Gem Pack Vol. 2 (CBB2C),01 09/15,Master Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/109.png
Eevee,Gem Pack Vol. 2 (CBB2C),01 10/15,Master Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/110.png
Eevee,Gem Pack Vol. 2 (CBB2C),01 11/15,Gem Pack logo gold foil,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/111.png
Eevee,Gem Pack Vol. 2 (CBB2C),01 12/15,Gem Pack logo gold foil,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/112.png
Eevee V,Gem Pack Vol. 2 (CBB2C),01 13/15,Pokémon V,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/113.png
Eevee VMAX,Gem Pack Vol. 2 (CBB2C),01 14/15,Pokémon VMAX,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/114.png
Eevee,Gem Pack Vol. 2 (CBB2C),01 15/15,Exclusive full art,Yes,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/115.png
Vaporeon,Gem Pack Vol. 2 (CBB2C),02 01/14,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/201.png
Vaporeon,Gem Pack Vol. 2 (CBB2C),02 02/14,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/202.png
Vaporeon,Gem Pack Vol. 2 (CBB2C),02 03/14,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/203.png
Vaporeon,Gem Pack Vol. 2 (CBB2C),02 04/14,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/204.png
